epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,1065.22,1.3331,1.38739,1.02182,0.72126,0.58737,0.58915,0.28972,1.84555,2.04323,1.2983,0.000307,0.000307,0.000307
72,1081.11,1.39755,1.32533,1.0534,0.71516,0.54557,0.54789,0.29637,1.80393,1.98282,1.28383,0.0002971,0.0002971,0.0002971
73,1096.56,1.32861,1.32333,1.01746,0.71516,0.54557,0.54789,0.29637,1.80393,1.98282,1.28383,0.0002872,0.0002872,0.0002872
74,1111.38,1.4293,1.47579,1.10924,0.79206,0.51083,0.55215,0.29541,1.83069,1.97617,1.29745,0.0002773,0.0002773,0.0002773
75,1126.43,1.36082,1.30994,1.03956,0.79206,0.51083,0.55215,0.29541,1.83069,1.97617,1.29745,0.0002674,0.0002674,0.0002674
76,1142.71,1.39822,1.35392,1.04706,0.81389,0.52507,0.56211,0.31529,1.82643,1.95511,1.30088,0.0002575,0.0002575,0.0002575
77,1160.12,1.36345,1.35767,1.04283,0.81389,0.52507,0.56211,0.31529,1.82643,1.95511,1.30088,0.0002476,0.0002476,0.0002476
78,1175.67,1.36681,1.3913,1.09293,0.7965,0.50498,0.5549,0.31035,1.81129,1.94494,1.29151,0.0002377,0.0002377,0.0002377
79,1190.5,1.34039,1.32967,1.05551,0.7965,0.50498,0.5549,0.31035,1.81129,1.94494,1.29151,0.0002278,0.0002278,0.0002278
80,1204.79,1.35971,1.33522,1.10084,0.78912,0.55087,0.5869,0.31424,1.79562,1.94338,1.2883,0.0002179,0.0002179,0.0002179
81,1219.07,1.35656,1.39112,1.07024,0.78912,0.55087,0.5869,0.31424,1.79562,1.94338,1.2883,0.000208,0.000208,0.000208
82,1233.43,1.21961,1.37419,0.99093,0.68229,0.57912,0.59433,0.31939,1.7983,1.95217,1.29561,0.0001981,0.0001981,0.0001981
83,1247.72,1.39988,1.41131,1.03017,0.68229,0.57912,0.59433,0.31939,1.7983,1.95217,1.29561,0.0001882,0.0001882,0.0001882
84,1262,1.30671,1.3496,1.03633,0.71979,0.5745,0.6073,0.3353,1.81075,1.93078,1.30063,0.0001783,0.0001783,0.0001783
85,1276.38,1.33886,1.28835,1.08377,0.71979,0.5745,0.6073,0.3353,1.81075,1.93078,1.30063,0.0001684,0.0001684,0.0001684
86,1291.15,1.26215,1.25247,1.00365,0.75575,0.5689,0.60939,0.3315,1.82301,1.90681,1.30519,0.0001585,0.0001585,0.0001585
87,1305.54,1.29609,1.25318,1.00464,0.75575,0.5689,0.60939,0.3315,1.82301,1.90681,1.30519,0.0001486,0.0001486,0.0001486
88,1319.9,1.24314,1.25124,1.03764,0.76586,0.58506,0.61356,0.3351,1.83021,1.86654,1.30507,0.0001387,0.0001387,0.0001387
89,1334.38,1.18453,1.2431,1.02135,0.76586,0.58506,0.61356,0.3351,1.83021,1.86654,1.30507,0.0001288,0.0001288,0.0001288
90,1349.3,1.33615,1.35462,1.07029,0.76841,0.59991,0.61572,0.33904,1.83469,1.83528,1.30241,0.0001189,0.0001189,0.0001189
91,1363.19,1.26963,1.32213,1.06245,0.76841,0.59991,0.61572,0.33904,1.83469,1.83528,1.30241,0.000109,0.000109,0.000109
92,1377.7,1.23805,1.30799,1.03877,0.72671,0.61834,0.62372,0.33794,1.82826,1.81797,1.30625,9.91e-05,9.91e-05,9.91e-05
93,1391.72,1.23049,1.27615,1.04311,0.72671,0.61834,0.62372,0.33794,1.82826,1.81797,1.30625,8.92e-05,8.92e-05,8.92e-05
94,1406.13,1.27593,1.33543,1.05865,0.72462,0.61487,0.62281,0.34085,1.82769,1.81476,1.31246,7.93e-05,7.93e-05,7.93e-05
95,1420.11,1.18261,1.27307,1.02685,0.72462,0.61487,0.62281,0.34085,1.82769,1.81476,1.31246,6.94e-05,6.94e-05,6.94e-05
96,1434.3,1.23595,1.30584,1.04035,0.69686,0.63222,0.61505,0.34255,1.82173,1.81649,1.3113,5.95e-05,5.95e-05,5.95e-05
97,1448.41,1.20162,1.29287,1.0302,0.69686,0.63222,0.61505,0.34255,1.82173,1.81649,1.3113,4.96e-05,4.96e-05,4.96e-05
98,1462.81,1.20139,1.25048,1.01805,0.70756,0.62253,0.61935,0.33794,1.81359,1.81546,1.31057,3.97e-05,3.97e-05,3.97e-05
99,1477.63,1.22818,1.24877,1.02216,0.70756,0.62253,0.61935,0.33794,1.81359,1.81546,1.31057,2.98e-05,2.98e-05,2.98e-05
100,1492.11,1.21916,1.29805,1.03024,0.65804,0.60209,0.62072,0.33668,1.81177,1.81425,1.31486,1.99e-05,1.99e-05,1.99e-05
